Id,AlbumId,Url,Caption,TakenAt
83,2,~/uploads/thumbnail/1052015215735IMG_0399.JPG,NULL,NULL
84,2,~/uploads/thumbnail/1052015215822IMG_0337.JPG,NULL,NULL
85,2,~/uploads/thumbnail/1052015215823IMG_0324.JPG,NULL,NULL
86,2,~/uploads/thumbnail/1052015215829IMG_0382.JPG,NULL,NULL
87,2,~/uploads/thumbnail/1052015215938IMG_0358.JPG,NULL,NULL
88,2,~/uploads/thumbnail/105201522027IMG_0401.JPG,NULL,NULL
89,2,~/uploads/thumbnail/1052015213725IMG_0403.JPG,NULL,NULL
90,2,~/uploads/thumbnail/1052015213813IMG_0345.JPG,NULL,NULL
91,2,~/uploads/thumbnail/1052015213822IMG_0349.JPG,NULL,NULL
92,2,~/uploads/thumbnail/1052015213826IMG_0334.JPG,NULL,NULL
93,2,~/uploads/thumbnail/1052015213827IMG_0380.JPG,NULL,NULL
94,2,~/uploads/thumbnail/105201521390IMG_0328.JPG,NULL,NULL
95,2,~/uploads/thumbnail/1052015213941IMG_0412.JPG,NULL,NULL
96,2,~/uploads/thumbnail/105201521418IMG_0420.JPG,NULL,NULL
97,2,~/uploads/thumbnail/1052015214125IMG_0395.JPG,NULL,NULL
98,2,~/uploads/thumbnail/1052015214134IMG_0422.JPG,NULL,NULL
99,2,~/uploads/thumbnail/1052015214145IMG_0369.JPG,NULL,NULL
100,2,~/uploads/thumbnail/105201521421IMG_0343.JPG,NULL,NULL
101,2,~/uploads/thumbnail/1052015214324IMG_0348.JPG,NULL,NULL
102,2,~/uploads/thumbnail/1052015214411IMG_0419.JPG,NULL,NULL
103,2,~/uploads/thumbnail/105201521455IMG_0329.JPG,NULL,NULL
104,2,~/uploads/thumbnail/1052015214514IMG_0327.JPG,NULL,NULL
105,2,~/uploads/thumbnail/1052015214525IMG_0376.JPG,NULL,NULL
106,2,~/uploads/thumbnail/1052015214558IMG_0430.JPG,NULL,NULL
107,2,~/uploads/thumbnail/105201521463IMG_0383.JPG,NULL,NULL
